name,street,city,state,zip,neighborhood,community_district,accepts_ebt,type,subtype,bread,bread_whole_wheat,dairy,dairy_low_fat,fish_fresh,fish_sustainably_caught,fresh_produce,fruit,greens,health_natural,herbs,juices_natural,local_food,meat_deli,meat_free_range,meat_low_fat,meat_packaged,organics,prepared_food,star_bodega,vegetables,other,surveyor,added,surveyed,latitude,longitude
Ami's Deli Grocery,210 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,False,False,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 20:28:51,2010-08-10 00:00:00,40.6776658,-73.9829878
Around the Clock Deli & Grocery,215 4th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,False,False,False,,True,True,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 20:30:10,2010-08-10 00:00:00,40.677162,-73.982899
Natural Grocery,252 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,False,False,True,True,False,,True,True,True,False,False,True,,False,False,False,True,True,True,,True,,Pat Konecky,2010-08-12 20:33:28,2010-08-10 00:00:00,40.675134,-73.9816869
Park Slope Deli & Tobacco,168 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,,Pat Konecky,2010-08-12 20:51:44,2010-08-10 00:00:00,40.671989,-73.977689
Garfield Farm Market,156 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,True,True,True,True,False,,True,True,True,False,True,True,,True,False,False,False,True,True,,True,,Pat Konecky,2010-08-12 20:52:51,2010-08-10 00:00:00,40.672363,-73.977423
DNY Natural Land II,147 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,True,True,True,True,False,,True,True,True,False,True,True,,False,False,False,False,True,True,,True,,Pat Konecky,2010-08-12 20:57:29,2010-08-10 00:00:00,40.6725629,-73.97648
3rd St. Newsstand & Deli,206 7th Ave.,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 21:01:52,2010-08-10 00:00:00,,
Rite Aid,249 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,convenience store,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,Pat Konecky,2010-08-12 21:07:41,2010-07-08 00:00:00,40.6691352,-73.9795661
Park Slope Deli Farm,294 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 21:08:39,2010-07-08 00:00:00,40.668116,-73.980895
The Avenue Deli,305 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,False,True,False,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 21:09:44,2010-07-08 00:00:00,40.6675576,-73.9809929
Kim's Family Farm,434 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,False,True,False,True,False,,True,True,True,False,True,False,,False,False,False,True,False,True,,True,,Pat Konecky,2010-08-12 21:11:00,2010-07-08 00:00:00,40.669619,-73.9862179
Kim's Grocery,313 7th Ave,Brooklyn,NY,11215,Park Slope,6,,small,green grocer,True,True,True,True,False,,True,True,True,False,False,False,,False,False,False,True,False,True,,True,,Pat Konecky,2010-08-12 21:11:51,2010-07-08 00:00:00,40.667172,-73.980983
Salem Deli Grocery,402 5th Ave,Brooklyn,NY,11215,Park Slope,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,True,,False,,Pat Konecky,2010-08-12 21:14:57,2010-07-08 00:00:00,40.670604,-73.985435
Smith Deli Grocery,301 Smith St,Brooklyn,NY,11231,Carroll Gardens,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,False,False,False,False,True,True,,False,,"Vinita Atkins, Sarah Salgado, Jessica Toledo",2010-08-14 21:20:33,2010-07-27 00:00:00,40.681661,-73.993537
Smith Finest Deli,285 Smith St,Brooklyn,NY,11231,Cobble HIll,6,,small,bodega,False,False,True,True,False,,True,True,False,False,False,True,,True,False,False,False,False,True,,True,,"Vinita Atkins, Sarah Salgado, Jessica Toledo",2010-08-14 21:26:39,2010-07-27 00:00:00,40.6820499,-73.993246
Smith's Grocery,147 Smith St,Brooklyn,NY,11201,Cobble Hill,6,,small,bodega,True,True,True,True,False,,True,True,True,False,False,True,,False,False,False,False,True,False,,True,,Jessyca,2010-08-14 21:28:17,2010-07-27 00:00:00,40.686797,-73.99034
Nut Box,163 Smith St,Brooklyn,NY,11201,Cobble Hill,6,,small,convenience store,False,True,False,False,False,,True,True,False,False,True,False,,False,False,False,False,True,False,,True,,Joshua Taveras,2010-08-14 21:33:19,2010-07-27 00:00:00,40.686123,-73.9906
Elberih Deli Corp,196 Bergen St,Brooklyn,NY,11217,Boerum Hill,6,,small,bodega,True,False,True,True,False,,True,False,True,False,False,False,,False,False,False,True,False,True,,False,,Chantel R,2010-08-14 21:37:56,2010-07-27 00:00:00,40.684767,-73.986143
Food Market,164 Wyckoff St,Brooklyn,NY,11217,Boerum Hill,6,,small,bodega,True,True,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,,Rosa,2010-08-14 21:41:27,2010-07-27 00:00:00,40.6847685,-73.9875829
Smith Organic Market,147 Smith St,Brooklyn,NY,11201,Cobble Hill,6,,small,bodega,True,False,True,True,False,,True,True,True,False,True,False,,True,False,False,True,True,True,,True,,Chantel R,2010-08-14 21:47:03,2010-07-27 00:00:00,40.686797,-73.99034
Hoyt Grocery,182 Hoyt St,Brooklyn,NY,11217,Boerum Hill,,,small,bodega,False,False,True,False,False,,False,False,False,False,False,False,,True,False,False,False,False,True,,False,,C,2010-08-14 21:48:37,2010-07-27 00:00:00,40.6846991,-73.9891709
Mobil Mart,375 Hamilton Ave,Brooklyn,NY,11231,Carroll Gardens,6,,small,convenience store,False,False,True,True,False,,False,False,False,False,False,True,,False,False,False,False,False,True,,False,,Vinita Atkins,2010-08-14 21:51:31,2010-07-28 00:00:00,40.673106,-73.998926
Healthy Deli,556 Garnet Street,Brooklyn,NY,,Carroll Gardens,6,,small,bodega,True,False,True,False,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,unknown,2010-08-14 21:53:14,2010-07-28 00:00:00,,
Sunoco/Dunkin Donuts,289 Smith St,Brooklyn,NY,11231,Carroll Gardens,6,,small,convenience store,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,False,False,True,,False,,Vinita Atkins,2010-08-14 21:54:13,2010-07-28 00:00:00,40.681949,-73.993312
BP Shop,327 Hamilton Ave,Brooklyn,NY,11231,Carroll Gardens,6,,small,convenience store,False,False,True,True,False,,False,False,False,False,False,True,,False,False,False,False,False,True,,False,,Vinita Atkins,2010-08-14 21:57:54,2010-07-28 00:00:00,40.675028,-74.000232
Las Americas Deli Grocery,506 Court St,Brooklyn,NY,11231,Carroll Gardens,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,True,True,True,,True,,Fiver Childrens' Foundation,2010-08-14 21:59:33,2010-07-28 00:00:00,40.676653,-73.9989219
Smith & 9th Street Deli Grocery,35 9th St,Brooklyn,NY,11215,Carroll Gardens,6,,small,bodega,True,True,True,True,False,,True,True,True,False,False,True,,True,False,False,True,False,True,,False,,Fiver Childrens' Foundation,2010-08-14 22:01:14,2010-07-28 00:00:00,40.6746473,-73.9975422
Healthy Deli,556 Court St,Brooklyn,NY,11231,Carroll Gardens,6,,small,bodega,False,False,False,False,False,,False,False,False,False,False,True,,True,False,False,False,True,True,,False,,Fiver Childrens' Foundation,2010-08-14 22:03:19,2010-07-28 00:00:00,40.674847,-73.999517
Santos Farm,429 Court St,Brooklyn,NY,11231,Carroll Gardens,6,,small,bodega,False,False,True,False,False,,True,True,True,False,True,True,,False,False,False,True,True,True,,True,,Fiver Childrens' Foundation,2010-08-14 22:10:30,2010-07-28 00:00:00,40.678341,-73.997502
